Index,Factory name,country,bws_score,bwd_score,cfr_score,drr_score,Factory Type
202,"Nantong Golden Yuelai Gym Equipment Co., Ltd",China,2.173164447,1.094305533,4.010231324,3.680475723,FINISHED GOODS
203,"Nantong Nafung Gym Equipment Co.,Ltd",China,2.173164447,1.094305533,4.010231324,3.680475723,FINISHED GOODS
204,NICE APPAREL COMPANY LIMITED,Thailand,4.567296794,2.764482381,0.0,3.141564658,FINISHED GOODS
205,NICE APPAREL COMPANY LIMITED,Thailand,3.109756422,1.63008337,2.129345161,3.069143173,FINISHED GOODS
206,Nice Apparel Company Limited Branch Chumphae,Thailand,3.482398811,1.735679777,0.0,3.26676485,FINISHED GOODS
207,Ningbo Bell Garment Industrial Co. Ltd,China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
208,Ningbo Eastex,China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
209,"NINGBO MITSUBANA APPERAL CO., LTD",China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
210,Ningbo Shenzhou Knitting Co. Ltd,China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
211,NINGBO SHENZHOU KNITTING CO. LTD. (PRINTING MILL & MC),China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
212,Ningbo Shenzhou Knitting Co. Ltd. Nbr 6 Garment Factory,China,2.635740043,1.163726976,4.001210681,2.806909944,FINISHED GOODS
213,"NINGBO SHENZHOU KNITTING CO., LTD",China,2.635740043,1.163726976,4.001210681,2.806909944,MATERIALS
214,NV Apparel Company Limited,Vietnam,1.864040593,1.029894649,1.808037565,3.859483479,FINISHED GOODS
215,ORIENTAL GARMENT AN GIANG CO LTD,Vietnam,1.864040593,1.029894649,1.808037565,3.859483479,FINISHED GOODS
216,"Oriental Garment Co., Ltd – Nongbuadang",Thailand,4.567296794,2.764482381,0.0,3.141564658,FINISHED GOODS
